NGO_name,CCReg,Contact_no,Contact,Address,longitude,latitude
"Community Action for Rural Development Society
(CARDS)",3434,9894191571 ,,"Adhil Complex, Gandhi Bazaar, Gingee, Viluppuram, Tamil Nadu 604202",79.43119,12.25346
COMMUNITY ACTION SOCIETY,3551,"24416453 , 9831107383 ",ASHESH CHAKRABORTI ,"RAJDANGA MAIN ROAD, KOLKATA, West Bengal 700107",88.39666,22.51386
"Community Action,Development,Liberative and
Education Trust (CANDLE)",1340,9486814622 ,C M Narayanan ,"Santhanathapuram, Pudukkottai, Tamil Nadu 622001",78.82148,10.39032
"COMMUNITY AWARENESS & VILLAGE
IMPROVEMENT",8455,9704038050 ,,"Gandhewar Thota, Shanti Nagar, Adilabad, Telangana 504001",78.54027,19.66666
Community Development Centre,845,9425822228 ,Ameen Charles ,"Maharishi Vidya Mandir, Lodhi Hostel, Bhatera, Balaghat, Madhya Pradesh 481001",80.1771,21.81017
"Community Organisation for Social Transformation
Trust (COST Trust)",2725,"2470178 , 9245893158 ",Dr. Malarvizhi ,"Erandelliaparai, Rettiapatty, Dindigul, Tamil Nadu 624003",78.01372,10.31891
CONSUMER GUIDANCE SOCIETY,6446,"22621612 , 22659715 ",Dr. Sitaram Dixit ,"Azad Maidan, Mahapalika Marg, Mumbai, Maharashtra 400001",72.83027,18.94287
Counsel To Secure Justice,11857,46573846 ,Urvashi Tilak ,"Usha Niketan, Safdarjung Development Area, New Delhi, South Delhi 110030",77.16102,28.49324
Creation Welfare Society,7385,8743022106 ,,"Dihuli Buzurg, Rajapur, Muzaffarpur, Bihar 843104",85.6093,25.94813
CREATOR,12924,9661448036 ,,"Aamgola, Prao Pokhar, Super Janta Tent House, Muzaffarpur, Bihar 842002",85.40997,26.12284
"CREDIT-I (Center for Rural, Education, Development and Innovative Technologies of India)",6646,"2957614 , 9448988746 ",Dr M P Varsha ,"3rd Cross, 4th Main, Gowrishankara Nagara, Ganapathi Sacchidananda Ashrama, Mysore, Karnataka 570025",76.66453,12.26215
